show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Desert Rain,,"Natalie Portman, Cate Blanchett, Denzel Washington, Ana de Armas",Norway,"February 07, 2003",2003,TV-Y7,85 min,"Teen TV Shows, Science & Nature TV, Children & Family Movies",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s2,TV Show,The Witcher,,"Florence Pugh, Viola Davis, Tom Hanks",Mexico,"June 20, 2008",2008,TV-Y7,8 Seasons,"Documentaries, Reality TV, Action & Adventure",A comedy that brilliantly captures the chaos and joy of modern family life.
s3,Movie,Echoes of Tomorrow,Chloe Zhao,"Denzel Washington, Leonardo DiCaprio, Idris Elba",United Kingdom,"August 21, 2015",2015,PG,86 min,"Anime Features, Action & Adventure, Thrillers",A comedy that brilliantly captures the chaos and joy of modern family life.
s4,Movie,Velvet Underground,,"Idris Elba, Florence Pugh, Anthony Mackie",India,"April 19, 2013",2013,TV-Y7,123 min,"Sports Movies, Horror",A detective with a troubled past investigates a series of mysterious disappearances.
s5,TV Show,Shadow and Bone,Sofia Coppola,"Anthony Mackie, Viola Davis, Cate Blanchett, Denzel Washington, Ryan Gosling",Canada,,2020,PG-13,8 Seasons,"Anime Features, Teen TV Shows, Drama","When secrets from the past resurface, a family must confront the truth before it destroys them."
s6,Movie,The Redemption Arc,,"Cate Blanchett, Tom Hanks, Brad Pitt, Denzel Washington",Spain,"February 28, 2011",2011,UR,79 min,"Thrillers, Teen TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.
s7,Movie,Frozen in Time 2,Greta Gerwig,"Zendaya, Cate Blanchett, Leonardo DiCaprio, Oscar Isaac",United Kingdom,"September 25, 2022",2022,PG,93 min,"Korean TV Shows, Science & Nature TV, Romantic Movies",A comedy that brilliantly captures the chaos and joy of modern family life.
s8,Movie,The Silent House,David Fincher,"Oscar Isaac, Lupita Nyong'o, Ryan Gosling, Natalie Portman",Mexico,,2017,,175 min,Crime TV Shows,"When secrets from the past resurface, a family must confront the truth before it destroys them."
s9,Movie,The Silent House,Guillermo del Toro,"Lupita Nyong'o, Cate Blanchett, Anthony Mackie",Canada,"July 15, 2015",2015,TV-Y7,142 min,Comedy,"Based on true events, this documentary exposes the hidden world behind the headlines."
s10,TV Show,Dark,Alfonso Cuarón,"Oscar Isaac, Denzel Washington, Brad Pitt",United Kingdom,"November 18, 2008",2008,TV-PG,4 Seasons,Science & Nature TV,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s11,TV Show,Bridgerton,Spike Lee,"Leonardo DiCaprio, Brad Pitt, Tom Hanks, Anthony Mackie, Natalie Portman",Norway,"May 07, 2010",2010,TV-G,6 Seasons,Comedy,"Set against the backdrop of history, a love story that transcends time and borders."
s12,TV Show,Never Have I Ever,Ava DuVernay,"Viola Davis, Meryl Streep",South Korea,"October 02, 2013",2013,TV-14,6 Seasons,"Romantic Movies, Crime TV Shows","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s13,Movie,City of Lights,Taika Waititi,"Denzel Washington, Leonardo DiCaprio, Natalie Portman, Zendaya",United Kingdom,"June 03, 2013",2013,TV-PG,116 min,"International Movies, Music & Musicals, Drama",A comedy that brilliantly captures the chaos and joy of modern family life.
s14,Movie,Edge of Glory,Martin Scorsese,"Cate Blanchett, Oscar Isaac, Meryl Streep, Ana de Armas",Thailand,"November 28, 2012",2012,TV-Y,176 min,Action & Adventure,"Based on true events, this documentary exposes the hidden world behind the headlines."
