show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,added_year,added_month,added_month_name,duration_minutes,duration_seasons,genre_count,primary_genre,content_age_years,content_age_group,audience_segment
s1,Movie,Desert Rain,Unknown,"Natalie Portman, Cate Blanchett, Denzel Washington, Ana de Armas",Norway,"February 07, 2003",2003,TV-Y7,85 min,"Teen TV Shows, Science & Nature TV, Children & Family Movies",An unlikely hero rises to face an impossible challenge in this action-packed adventure.,2003,2,Feb,85,,3,Teen TV Shows,20,Classic (11-20y),Kids
s2,TV Show,The Witcher,Unknown,"Florence Pugh, Viola Davis, Tom Hanks",Mexico,"June 20, 2008",2008,TV-Y7,8 Seasons,"Documentaries, Reality TV, Action & Adventure",A comedy that brilliantly captures the chaos and joy of modern family life.,2008,6,Jun,,8,3,Documentaries,15,Classic (11-20y),Kids
s3,Movie,Echoes of Tomorrow,Chloe Zhao,"Denzel Washington, Leonardo DiCaprio, Idris Elba",United Kingdom,"August 21, 2015",2015,PG,86 min,"Anime Features, Action & Adventure, Thrillers",A comedy that brilliantly captures the chaos and joy of modern family life.,2015,8,Aug,86,,3,Anime Features,8,Moderate (6-10y),Family
s4,Movie,Velvet Underground,Unknown,"Idris Elba, Florence Pugh, Anthony Mackie",India,"April 19, 2013",2013,TV-Y7,123 min,"Sports Movies, Horror",A detective with a troubled past investigates a series of mysterious disappearances.,2013,4,Apr,123,,2,Sports Movies,10,Moderate (6-10y),Kids
s5,TV Show,Shadow and Bone,Sofia Coppola,"Anthony Mackie, Viola Davis, Cate Blanchett, Denzel Washington, Ryan Gosling",Canada,Not Available,2020,PG-13,8 Seasons,"Anime Features, Teen TV Shows, Drama","When secrets from the past resurface, a family must confront the truth before it destroys them.",,,,,8,3,Anime Features,3,Recent (3-5y),Teens
s6,Movie,The Redemption Arc,Unknown,"Cate Blanchett, Tom Hanks, Brad Pitt, Denzel Washington",Spain,"February 28, 2011",2011,UR,79 min,"Thrillers, Teen TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.,2011,2,Feb,79,,2,Thrillers,12,Classic (11-20y),Unrated
s7,Movie,Frozen in Time 2,Greta Gerwig,"Zendaya, Cate Blanchett, Leonardo DiCaprio, Oscar Isaac",United Kingdom,"September 25, 2022",2022,PG,93 min,"Korean TV Shows, Science & Nature TV, Romantic Movies",A comedy that brilliantly captures the chaos and joy of modern family life.,2022,9,Sep,93,,3,Korean TV Shows,1,Very Recent (0-2y),Family
s8,Movie,The Silent House,David Fincher,"Oscar Isaac, Lupita Nyong'o, Ryan Gosling, Natalie Portman",Mexico,Not Available,2017,PG-13,175 min,Crime TV Shows,"When secrets from the past resurface, a family must confront the truth before it destroys them.",,,,175,,1,Crime TV Shows,6,Moderate (6-10y),Teens
s9,Movie,The Silent House,Guillermo del Toro,"Lupita Nyong'o, Cate Blanchett, Anthony Mackie",Canada,"July 15, 2015",2015,TV-Y7,142 min,Comedy,"Based on true events, this documentary exposes the hidden world behind the headlines.",2015,7,Jul,142,,1,Comedy,8,Moderate (6-10y),Kids
s10,TV Show,Dark,Alfonso Cuarón,"Oscar Isaac, Denzel Washington, Brad Pitt",United Kingdom,"November 18, 2008",2008,TV-PG,4 Seasons,Science & Nature TV,An unlikely hero rises to face an impossible challenge in this action-packed adventure.,2008,11,Nov,,4,1,Science & Nature TV,15,Classic (11-20y),Family
s11,TV Show,Bridgerton,Spike Lee,"Leonardo DiCaprio, Brad Pitt, Tom Hanks, Anthony Mackie, Natalie Portman",Norway,"May 07, 2010",2010,TV-G,6 Seasons,Comedy,"Set against the backdrop of history, a love story that transcends time and borders.",2010,5,May,,6,1,Comedy,13,Classic (11-20y),Family
s12,TV Show,Never Have I Ever,Ava DuVernay,"Viola Davis, Meryl Streep",South Korea,"October 02, 2013",2013,TV-14,6 Seasons,"Romantic Movies, Crime TV Shows","Love, loss, and redemption collide in this emotionally charged journey across three continents.",2013,10,Oct,,6,2,Romantic Movies,10,Moderate (6-10y),Teens
s13,Movie,City of Lights,Taika Waititi,"Denzel Washington, Leonardo DiCaprio, Natalie Portman, Zendaya",United Kingdom,"June 03, 2013",2013,TV-PG,116 min,"International Movies, Music & Musicals, Drama",A comedy that brilliantly captures the chaos and joy of modern family life.,2013,6,Jun,116,,3,International Movies,10,Moderate (6-10y),Family
s14,Movie,Edge of Glory,Martin Scorsese,"Cate Blanchett, Oscar Isaac, Meryl Streep, Ana de Armas",Thailand,"November 28, 2012",2012,TV-Y,176 min,Action & Adventure,"Based on true events, this documentary exposes the hidden world behind the headlines.",2012,11,Nov,176,,1,Action & Adventure,11,Classic (11-20y),Kids
s15,Movie,Hollow Ground,Martin Scorsese,"Viola Davis, Ana de Armas, Natalie Portman, Ryan Gosling",Canada,"September 02, 2021",2021,NR,115 min,Comedy,A detective with a troubled past investigates a series of mysterious disappearances.,2021,9,Sep,115,,1,Comedy,2,Very Recent (0-2y),Unrated
s16,TV Show,Mindhunter,Ava DuVernay,"Brad Pitt, Idris Elba, Cate Blanchett, Oscar Isaac",Nigeria,"April 28, 2010",2010,NR,7 Seasons,Thrillers,Five strangers are brought together by fate in a city that never sleeps.,2010,4,Apr,,7,1,Thrillers,13,Classic (11-20y),Unrated
s17,Movie,Ocean's Edge,Kathryn Bigelow,"Viola Davis, Anthony Mackie, Ana de Armas, Meryl Streep",Unknown,"August 12, 2020",2020,R,144 min,Reality TV,Five strangers are brought together by fate in a city that never sleeps.,2020,8,Aug,144,,1,Reality TV,3,Recent (3-5y),Adults
s18,Movie,The Redemption Arc,Chloe Zhao,"Idris Elba, Leonardo DiCaprio, Meryl Streep, Tom Hanks, Denzel Washington",India,"June 14, 2015",2015,TV-Y7,175 min,"Romantic Movies, Anime Features, Comedy","Based on true events, this documentary exposes the hidden world behind the headlines.",2015,6,Jun,175,,3,Romantic Movies,8,Moderate (6-10y),Kids
s19,Movie,Starfall,Unknown,"Ana de Armas, Brad Pitt, Meryl Streep",Thailand,"May 17, 2019",2019,PG,149 min,"Teen TV Shows, Horror","Love, loss, and redemption collide in this emotionally charged journey across three continents.",2019,5,May,149,,2,Teen TV Shows,4,Recent (3-5y),Family
s20,TV Show,Ginny & Georgia,Spike Lee,"Anthony Mackie, Ryan Gosling, Florence Pugh, Leonardo DiCaprio",Denmark,"August 22, 2016",2016,TV-Y,3 Seasons,"Action & Adventure, International Movies, Music & Musicals","Set against the backdrop of history, a love story that transcends time and borders.",2016,8,Aug,,3,3,Action & Adventure,7,Moderate (6-10y),Kids
s21,TV Show,Shadow and Bone,Unknown,Unknown,Argentina,"July 21, 2006",2006,UR,8 Seasons,"Children & Family Movies, Horror","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems.",2006,7,Jul,,8,2,Children & Family Movies,17,Classic (11-20y),Unrated
s22,TV Show,Warrior Nun,Denis Villeneuve,"Viola Davis, Anthony Mackie, Ana de Armas",Unknown,"August 22, 2016",2016,PG,8 Seasons,"Music & Musicals, Science & Nature TV, Teen TV Shows",An unlikely hero rises to face an impossible challenge in this action-packed adventure.,2016,8,Aug,,8,3,Music & Musicals,7,Moderate (6-10y),Family
s23,TV Show,Dark,Steven Spielberg,"Ryan Gosling, Anthony Mackie, Oscar Isaac",Spain,"May 11, 2013",2013,NR,3 Seasons,Children & Family Movies,"Based on true events, this documentary exposes the hidden world behind the headlines.",2013,5,May,,3,1,Children & Family Movies,10,Moderate (6-10y),Unrated
s24,TV Show,Sweet Tooth,Unknown,"Idris Elba, Ryan Gosling, Natalie Portman, Brad Pitt, Leonardo DiCaprio",Denmark,"October 13, 2021",2021,G,5 Seasons,"Science & Nature TV, Teen TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.,2021,10,Oct,,5,2,Science & Nature TV,2,Very Recent (0-2y),Kids
s25,TV Show,Money Heist,Steven Spielberg,"Lupita Nyong'o, Leonardo DiCaprio, Brad Pitt, Viola Davis, Idris Elba",Germany,"September 01, 2022",2022,PG-13,2 Seasons,"Science & Nature TV, Horror, Sports Movies","In a dystopian future, one person dares to challenge the system and ignite a revolution.",2022,9,Sep,,2,3,Science & Nature TV,1,Very Recent (0-2y),Teens
s26,Movie,Crimson Peak 2,Ryan Coogler,"Anthony Mackie, Tom Hanks, Lupita Nyong'o, Brad Pitt",United States,"June 08, 2022",2022,G,85 min,Korean TV Shows,"In a dystopian future, one person dares to challenge the system and ignite a revolution.",2022,6,Jun,85,,1,Korean TV Shows,1,Very Recent (0-2y),Kids
s27,Movie,Raw Power,Alfonso Cuarón,"Ryan Gosling, Anthony Mackie, Viola Davis, Denzel Washington, Zendaya",Canada,Not Available,2022,PG-13,176 min,"Reality TV, Romantic Movies","When secrets from the past resurface, a family must confront the truth before it destroys them.",,,,176,,2,Reality TV,1,Very Recent (0-2y),Teens
s28,TV Show,The Circle,Unknown,Unknown,Philippines,"January 28, 2018",2018,TV-PG,2 Seasons,"Stand-Up Comedy, Sports Movies","In a dystopian future, one person dares to challenge the system and ignite a revolution.",2018,1,Jan,,2,2,Stand-Up Comedy,5,Recent (3-5y),Family
s29,TV Show,Shadow and Bone,Steven Spielberg,"Oscar Isaac, Brad Pitt, Florence Pugh, Ana de Armas, Zendaya",United Kingdom,"August 19, 2013",2013,TV-G,6 Seasons,Independent Movies,Five strangers are brought together by fate in a city that never sleeps.,2013,8,Aug,,6,1,Independent Movies,10,Moderate (6-10y),Family
s30,Movie,The Phoenix Project 2,Ryan Coogler,"Ryan Gosling, Lupita Nyong'o, Leonardo DiCaprio, Oscar Isaac",Nigeria,"August 21, 2013",2013,UR,97 min,Reality TV,"Love, loss, and redemption collide in this emotionally charged journey across three continents.",2013,8,Aug,97,,1,Reality TV,10,Moderate (6-10y),Unrated
s31,Movie,Broken Wings,Wes Anderson,"Florence Pugh, Ana de Armas, Ryan Gosling, Viola Davis",Brazil,"June 04, 2019",2019,PG,154 min,"Anime Features, British TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.,2019,6,Jun,154,,2,Anime Features,4,Recent (3-5y),Family
s32,TV Show,The Circle,Jordan Peele,Unknown,Spain,"December 05, 2017",2017,G,2 Seasons,British TV Shows,A detective with a troubled past investigates a series of mysterious disappearances.,2017,12,Dec,,2,1,British TV Shows,6,Moderate (6-10y),Kids
s33,Movie,Fire & Ice,Ava DuVernay,"Lupita Nyong'o, Meryl Streep, Florence Pugh, Oscar Isaac",Unknown,"October 10, 2010",2010,G,157 min,"Korean TV Shows, Children & Family Movies",A comedy that brilliantly captures the chaos and joy of modern family life.,2010,10,Oct,157,,2,Korean TV Shows,13,Classic (11-20y),Kids
s34,TV Show,Ozark,Sofia Coppola,"Zendaya, Lupita Nyong'o, Oscar Isaac, Leonardo DiCaprio, Florence Pugh",Japan,"March 08, 2019",2019,NC-17,3 Seasons,Science & Nature TV,An unlikely hero rises to face an impossible challenge in this action-packed adventure.,2019,3,Mar,,3,1,Science & Nature TV,4,Recent (3-5y),Adults
s35,Movie,Ocean's Edge,Unknown,"Zendaya, Ana de Armas, Florence Pugh, Natalie Portman",Spain,"April 14, 2018",2018,TV-MA,176 min,"Horror, Action & Adventure","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems.",2018,4,Apr,176,,2,Horror,5,Recent (3-5y),Adults
s36,Movie,Velvet Underground,Sofia Coppola,"Oscar Isaac, Meryl Streep, Natalie Portman, Ana de Armas",Spain,"October 02, 2016",2016,TV-G,63 min,Children & Family Movies,"Set against the backdrop of history, a love story that transcends time and borders.",2016,10,Oct,63,,1,Children & Family Movies,7,Moderate (6-10y),Family
s37,Movie,Starfall,Steven Spielberg,"Viola Davis, Natalie Portman",Spain,"August 03, 2016",2016,TV-14,145 min,Thrillers,Five strangers are brought together by fate in a city that never sleeps.,2016,8,Aug,145,,1,Thrillers,7,Moderate (6-10y),Teens
s38,Movie,Steel Hearts,David Fincher,"Oscar Isaac, Meryl Streep",Australia,"September 15, 2019",2019,G,139 min,"Sports Movies, Comedy","Love, loss, and redemption collide in this emotionally charged journey across three continents.",2019,9,Sep,139,,2,Sports Movies,4,Recent (3-5y),Kids
s39,Movie,The Forgotten Path,Unknown,"Cate Blanchett, Leonardo DiCaprio, Idris Elba, Zendaya, Lupita Nyong'o",United States,"February 15, 2012",2012,PG,151 min,"Music & Musicals, Anime Features","Based on true events, this documentary exposes the hidden world behind the headlines.",2012,2,Feb,151,,2,Music & Musicals,11,Classic (11-20y),Family
s40,TV Show,Stranger Things,Guillermo del Toro,"Anthony Mackie, Cate Blanchett, Zendaya",United Kingdom,"June 26, 2021",2021,UR,5 Seasons,"International Movies, British TV Shows, Independent Movies","In a dystopian future, one person dares to challenge the system and ignite a revolution.",2021,6,Jun,,5,3,International Movies,2,Very Recent (0-2y),Unrated
